workflow_id,commit_sha,task,category,horizon,condition,rep,model,provider,model_tier,benchmark_profile,passed,acceptance_oracle_passed,project_tests_passed,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,tokens,cost_usd,rework_turns,governance_turns,llm_turns,wall_clock_s,stop_reason,expected_file_count,written_file_count,milestones_completed,milestones_total,tokens_per_completed_milestone,language_count,tool_schema_hashes
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,1,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,80484,5244,55671,0,85728,0.27987,2,0,8,56.979,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,2,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,60701,6659,32535,0,67360,0.251638,2,0,7,57.639,done,6,2,1,3,67360.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,3,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,101937,4057,72415,0,105994,0.315697,1,0,8,44.657,done,6,3,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,4,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,92776,3167,68914,0,95943,0.279445,1,0,7,41.961,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,5,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,169167,9329,110236,0,178496,0.562852,3,0,12,87.747,max_turns,6,3,1,3,178496.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,6,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,59735,3583,37198,0,63318,0.203082,1,0,6,34.171,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,7,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,167121,10163,91503,0,177284,0.570248,2,0,12,110.504,max_turns,6,4,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,8,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,72019,7321,47068,0,79340,0.289863,1,0,8,59.767,done,6,2,1,3,79340.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,9,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,165812,7313,118794,0,173125,0.524225,1,0,12,85.266,max_turns,6,3,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,10,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,True,True,True,129702,9213,93231,0,138915,0.46245,2,0,12,92.733,max_turns,6,5,1,3,138915.0,2,073d5dee7650d228
